"In Java, what command is used to run a compiled application from the command line?","The `java` command, followed by the name of the class containing the `main` method (e.g., `java HelloWorld`)."
What is the purpose of the `static` keyword when applied to a method in Java?,"It signifies that the method belongs to the class itself, rather than an instance of the class, and can be run without creating an object."
Why should you use getters and setters instead of making class variables public?,"They provide encapsulation, allowing for restrictions, validation, or logic to be applied when accessing or modifying a variable."
What tool is used to generate API documentation in HTML format from Java source code comments?,The `javadoc` tool.
A special form of multi-line comment that starts with `/**` is known as a _____.,Javadoc comment.
"In the `java` command, options like `-cp` must appear _____ the class name or `-jar` argument to be recognized.",before
"Since Java 7, what character can be used in numeric literals to improve readability?","The underscore character (`_`), for example `int i = 123_456;`."
What suffix must be added to a number to declare it as a `long` literal?,"An `L` or `l` suffix (e.g., `long bigNumber = 549755813888L;`)."
"For storing precise numbers like currency, which class should be used instead of `float` or `double`?",The `BigDecimal` class.
What is the correct method to compare the contents of two `String` objects for equality?,The `.equals()` method.
The `String` comparison method that ignores the case of individual characters is `_____`.,`equalsIgnoreCase()`
What does it mean for `String` objects to be immutable in Java?,"Once a `String` object is created, its value cannot be changed; methods that appear to modify a string actually return a new `String` instance."
"Code Snippet: `String a = ""alpha""; String b = ""alpha""; System.out.println(a == b);` What is the output?","`true`, because both variables reference the same `String` instance from the string pool."
"Code Snippet: `String a = ""alpha""; String c = new String(""alpha""); System.out.println(a == c);` What is the output?","`false`, because the `new` keyword forces the creation of a new object on the heap, separate from the string pool."
"To get the number of characters in a `String`, which method is called?",The `length()` method.
"To retrieve the character at a specific position in a `String`, which method is used?","The `charAt(int index)` method, where the index is zero-based."
"Which class is a thread-safe, mutable sequence of characters, as opposed to the non-thread-safe `StringBuilder`?",`StringBuffer`.
"To efficiently build a string by repeatedly appending characters or strings in a loop, which class should be used?",`StringBuilder`.
"In `SimpleDateFormat` patterns, what is the difference between `mm` and `MM`?","`mm` (lowercase) represents minutes, while `MM` (uppercase) represents the month."
"Since Java 8, what class from the `java.time` package is used to represent a date without time or time zone?",`LocalDate`.
"To calculate the number of days between two `LocalDate` objects, which class and method can be used?","The `ChronoUnit.DAYS.between(date1, date2)` method."
Why is it preferable to use `BigDecimal.valueOf(15.15)` instead of `new BigDecimal(15.15)`?,"`new BigDecimal(15.15)` can have unpredictable results due to floating-point inaccuracies, whereas `valueOf()` uses the canonical string representation."
True or False: `BigDecimal` objects are mutable.,False. `BigDecimal` objects are immutable; operations like `add()` return a new `BigDecimal` instance with the result.
"For mathematical operations involving integers too large for the `long` primitive type, which class should be used?",The `BigInteger` class.
"In Java, what is the default value for elements in a newly created `int` array?",The default value is `0`.
"What is the default value for elements in a newly created array of reference types (e.g., `String[]`)?",The default value is `null`.
What method from the `java.util.Arrays` class can be used to convert an array to a `List`?,`Arrays.asList(array)`.
What is a major caveat of using `Arrays.asList()` to create a `List` from an array?,"The list is backed by the original array, so changes to the list affect the array, and its size cannot be changed."
