"In Java, what is the default byte order for writing all values, ensuring platform independence?","All values are written in the big-endian fashion, regardless of the processor."
What is the purpose of the `seek()` method in a random access file in Java?,The `seek()` method sets the file pointer to a specific byte position within the file for non-sequential access.
"In Java serialization, which keyword is used to mark an instance field so that it is not included when an object is serialized?",The `transient` keyword.
"During deserialization of a standard serializable class in Java, what is a notable aspect of object creation regarding constructors?",Objects are created without invoking any constructor of the class; field values are set directly from the input stream.
"To protect against deserialization attacks, Java provides a serialization filter mechanism specified through which system property?",The `jdk.serialFilter` system property.
"In Java regular expressions, what does the `.` symbol match?","It matches any single character, except for line terminators unless the DOTALL flag is set."
How must you represent a literal backslash `\` within a Java string literal that defines a regular expression?,"You must escape it with another backslash, resulting in `\\`."
What is the difference between the `matches()` and `find()` methods of the Java `Matcher` class?,"The `matches()` method attempts to match the entire input sequence against the pattern, while the `find()` method scans the input sequence to find the next subsequence that matches the pattern."
"In Java's regular expression API, how are captured groups numbered?","Groups are numbered by their opening parenthesis from left to right, starting at 1. Group 0 represents the entire match."
What is the function of the `replaceAll()` method of the Java `String` or `Matcher` class?,It replaces every subsequence of the input sequence that matches the pattern with the given replacement string.
What are the two main kinds of XML parsers supplied by the Java API?,"Tree parsers (like DOM) that read the document into a tree structure, and streaming parsers (like SAX and StAX) that generate events as they read."
What does a Document Type Definition (DTD) specify for an XML document?,"A DTD specifies the structure of the document, including the valid elements, attributes, and their arrangement."
"In an XML DTD, what does the `#PCDATA` keyword signify?","It stands for ""parsed character data"" and indicates that an element can contain text, which will be parsed by the XML parser."
"When parsing an XML file with an XML Schema, what method must be called on the `DocumentBuilderFactory` to enable support for namespaces?",The `setNamespaceAware(true)` method must be called on the factory.
Why is it customary to use HTTP URLs as namespace identifiers in XML?,"It is an easy way to ensure uniqueness, leveraging the domain name system for the host part."
"Which type of XML parser is most efficient for very large documents where you only need to process nodes as they are encountered, without building a complete in-memory tree?","A streaming parser, such as SAX or StAX, is most efficient."
"In SAX parsing, which method of the `ContentHandler` is called when the parser encounters the beginning of an element?",The `startElement()` method is called.
"The _____ mechanism allows you to specify rules for transforming XML documents into other formats, such as HTML or plain text.",XSL Transformations (XSLT)
"In an XSLT stylesheet, what is the purpose of the `<xsl:apply-templates/>` instruction?","It instructs the XSLT processor to continue processing the children of the current node, applying any matching templates it finds."
"In XSLT, the `<xsl:value-of select=""...""/>` statement is used for what purpose?",It computes the string value of the node set specified by the XPath in the `select` attribute and inserts it into the output.
What is the primary purpose of the `java.net.URI` class compared to the `java.net.URL` class?,"The `URI` class's sole purpose is parsing identifiers, while the `URL` class can open a stream to the resource the identifier specifies."
What is the correct modern approach to create a `URL` object in Java to avoid deprecated constructors?,"First construct a `URI` from a string, and then call the `toURL()` method on the `URI` object."
What is the key difference in how GET and POST HTTP requests transmit parameters to a server?,"GET attaches parameters to the URL as a query string, while POST sends them in the body of the request."
"According to URL encoding rules, what character is used to replace all spaces in parameter values?",The plus `+` character.
"When sending POST data using `URLConnection`, which method must be called to indicate that you intend to write to the connection?",The `setDoOutput(true)` method.
"If a server-side error (like a 404) occurs when using `HttpURLConnection`, which method should be called to read the error page sent by the server?",The `getErrorStream()` method.
The modern Java `HttpClient` and `HttpRequest` classes use the _____ pattern for construction and configuration.,builder
