What is a database?,A collection of data stored in a format that can be easily accessed.
What software application is used to manage databases?,"A Database Management System, or DBMS."
"In relational databases, data is stored in _____ that are linked to each other using relationships.",tables
What is SQL (or SQUEL)?,It is the language used to work with relational database management systems to query or modify data.
"Non-relational databases, also known as _____, do not use tables or relationships and do not understand SQL.",NoSQL
SQL was originally developed at IBM and was called SQUEL. What did SQUEL stand for?,Structured English Query Language.
What graphical tool is used to connect to a MySQL database server and manage databases in the course?,MySQL Workbench.
What is the default port for a MySQL server connection?,3306.
What is the IP address for the local machine (localhost) when setting up a MySQL connection?,127.0.0.1.
"In MySQL Workbench, what does the 'Schemas' tab in the navigator panel show?",It shows the databases available in the current database server.
What is the function of the yellow thunder icon in the MySQL Workbench toolbar?,It executes the selected SQL code or the entire script if nothing is selected.
"In a database table, what are columns and rows (records)?","Columns represent attributes of an object (e.g., first_name), and rows (records) represent a single instance of that object (e.g., one customer)."
"Why do relational databases use IDs (e.g., `customer_id`) to link tables instead of repeating information like a customer's name?","To avoid data redundancy and simplify updates, as information that might change (like an address) only needs to be modified in one place."
What SQL statement must be run first to select a specific database to execute queries against?,"The `USE` statement, followed by the database name (e.g., `USE sql_store;`)."
What is the convention for casing in SQL statements?,"Capitalize SQL keywords (like `SELECT`, `FROM`) and use lowercase for everything else (like table and column names)."
"In a `SELECT` statement, what character is used as a wildcard to retrieve all columns from a table?",An asterisk (*).
What is the correct order for the four main clauses in a basic SQL query?,"`SELECT`, `FROM`, `WHERE`, `ORDER BY`."
How can you comment out a single line in a SQL query?,By placing two hyphens (`--`) at the beginning of the line.
"In a `SELECT` statement, how do you provide a custom name or 'alias' for a calculated column?","By using the `AS` keyword followed by the desired alias (e.g., `points * 1.1 AS new_price`)."
"If you want to use a space in a column alias, what must you do?","You must enclose the alias in single or double quotes (e.g., `AS 'discount factor'`)."
"What is the order of operations for arithmetic operators in SQL (e.g., `*`, `+`)?",It follows standard mathematical rules: multiplication and division have higher precedence than addition and subtraction.
How can you change the default order of arithmetic operations in a SQL expression?,By using parentheses `()` to group operations.
What keyword is added to a `SELECT` clause to return only unique (non-duplicate) values from a column?,"The `DISTINCT` keyword (e.g., `SELECT DISTINCT state`)."
What is the purpose of the `WHERE` clause in a SQL query?,To filter records and return only those that meet a specified condition.
List the six main comparison operators used in a `WHERE` clause.,"Greater than (`>`), greater than or equal to (`>=`), less than (`<`), less than or equal to (`<=`), equal (`=`), and not equal (`!=` or `<>`)."
"When filtering based on string or date values in a `WHERE` clause, what must you do to the value?","You must enclose the string or date value in single quotes (e.g., `WHERE state = 'VA'`)."
What is the standard format for representing dates in MySQL?,"'YYYY-MM-DD' (e.g., '1990-01-01')."
"When using the `AND` operator to combine conditions in a `WHERE` clause, which records are returned?",Only records where *both* conditions are true.
"When using the `OR` operator to combine conditions in a `WHERE` clause, which records are returned?",Records where *at least one* of the conditions is true.
Which logical operator has higher precedence in SQL: `AND` or `OR`?,The `AND` operator is always evaluated first.
