What is the primary purpose of a Version Control System (VCS) like Git?,"To manage and track changes in projects, allowing for checkpoints and collaboration among multiple engineers."
"In the context of Git, what is a 'checkpoint' analogous to in a video game?",It is a saved state of the project that you can revert back to if something goes wrong.
What is the key difference between Git and GitHub?,"Git is the version control software itself, while GitHub is a service that hosts Git repositories online."
What command is used to check the installed version of Git?,The command `git --version` or `git -v` is used to check the installed version.
What does the instructor state is a common misconception for beginners regarding Git and GitHub?,Beginners often mistakenly assume that Git and GitHub are the same thing.
"Besides GitHub, what is another popular service provider for hosting Git repositories mentioned in the course?",Bitbucket is mentioned as another popular service provider.
The `git init` command creates a hidden folder to track all files and subfolders. What is the name of this folder?,The hidden folder created is named `.git`.
What advice is given about manually changing files inside the `.git` folder?,You should never manually go into the `.git` folder and make any changes.
"In the world of Git, what is the short term for 'repository'?",The short term for repository is 'repo'.
What command initializes a new Git repository in the current directory?,The command `git init` is used to initialize a new Git repository.
How many times should you run the `git init` command per project?,The `git init` command should only be run once per project.
"Which Git command should be run often to check the current state of the repository, including untracked or modified files?",The `git status` command should be run often to check the repository's state.
"If `git status` reports 'fatal: not a git repository', what does this mean?",It means the current directory (or any parent directories) has not been initialized as a Git repository.
"The three-stage workflow in Git consists of the Working Directory, the Staging Area, and the _____.",Local Repository (after a commit).
What command moves files from the Working Directory to the Staging Area?,The `git add <filename>` command moves files to the Staging Area.
What is the purpose of the Staging Area in Git?,The Staging Area is an intermediate zone where you prepare and group the changes you want to include in the next commit.
"In Git, a checkpoint or a saved state of the repository is formally called a _____.",commit
What command is used to permanently save the staged changes to the local repository?,The `git commit` command is used to save staged changes.
What is the purpose of the `-m` flag when using `git commit`?,The `-m` flag allows you to provide a commit message directly from the command line.
"According to the course, what happens if you run `git commit` without the `-m` flag?",It opens a default text editor (like Vim) for you to write a more detailed commit message.
The recommended convention for writing commit messages is to use the present tense and give an order to the codebase. This style is known as _____.,imperative
"The principle that one commit should only do one job (e.g., fix one bug or add one feature) is known as _____.",atomic commits
Which command is used to view the history of commits in a repository?,The `git log` command is used to view the commit history.
What does the `--oneline` flag do when used with `git log`?,"It condenses the commit history, showing each commit as a single line with the commit hash and message."
Which command allows you to set configuration variables like your username and email for Git?,The `git config` command is used to set configuration variables.
What is the command to set your username globally in Git?,"`git config --global user.name ""Your Name""`"
