What is the core function of the Central Processing Unit (CPU) in a computer?,"It continuously asks the question, ""What do you want me to do next?"" at an extremely high speed."
What is the key difference between main memory (RAM) and secondary storage (like a hard drive)?,"Main memory is fast but volatile (loses data when power is off), while secondary storage is slower but permanent."
"In Python, your program code is translated into a series of zeros and ones for the microprocessor, which is known as _____ language.",machine
What is the purpose of the `print()` function in Python?,It displays output to the screen.
"In Python, a _____ error occurs when the code violates the grammatical rules of the language.",syntax
The name 'Python' was inspired by what British comedy troupe?,Monty Python's Flying Circus.
What prompt does the Python interactive interpreter display to indicate it's ready for the next command?,The three-chevron prompt (>>>).
What are 'reserved words' in Python?,They are words that have a special meaning to Python and cannot be used as variable names.
"In Python, a file containing code is typically called a _____ and is saved with a `.py` extension.",script
What are the three basic patterns of program execution discussed in the course?,"Sequential steps, conditional steps (skipping), and repeated steps (loops)."
What is a constant in programming?,"A fixed value, such as a number or a string, that does not change."
"In Python, how do you create a string constant?",By enclosing text in single or double quotes.
What is a variable in programming?,A named place in memory where a programmer can store data and later retrieve it using the variable name.
What are the rules for naming variables in Python?,"They must start with a letter or underscore, can contain letters, numbers, and underscores, and are case-sensitive."
Variable names that are chosen to be descriptive and help others understand the code are called _____ variable names.,mnemonic
"What does an assignment statement (e.g., `x = 1`) do in Python?",It stores a value into a variable.
"In the assignment `x = x + 1`, how is the right-hand side evaluated?","The current value of x is retrieved, 1 is added to it, and the result is then stored back into x."
What is the concept of 'type' in Python?,"It refers to the kind of data a variable holds, such as an integer, a float, or a string."
What does the `+` operator do when used with two strings?,"It performs concatenation, joining the strings together end-to-end."
How can you convert a string containing digits into an integer in Python?,"By using the `int()` function, for example `int('123')`."
What is the primary difference between Python 2 and Python 3's division operator (`/`)?,"In Python 3, division always produces a floating-point result, whereas in Python 2 it performed integer division."
What function is used to get input from a user in a Python program?,"The `input()` function, which displays a prompt and returns the user's typed text as a string."
"In Python, how are blocks of code, such as those in an `if` statement or a loop, demarcated?","Through indentation, typically with four spaces."
What is the purpose of the `try` and `except` keywords in Python?,"They are used to handle potential errors (exceptions) in a block of code, preventing the program from crashing."
"When code inside a `try` block executes without error, what happens to the corresponding `except` block?",The `except` block is ignored and skipped.
What is the primary benefit of defining a function in your code?,It allows you to store a block of code and reuse it multiple times by invoking the function name.
The keyword _____ is used to define a function in Python.,`def`
What is the difference between a parameter and an argument in the context of functions?,"A parameter is the variable name inside the function definition, while an argument is the value passed to the function when it is called."
What does the `return` statement do inside a function?,It ends the function execution and sends a result value back to the caller.
A loop that is guaranteed to run zero or more times is known as a _____ loop.,zero-trip
"How can you create an infinite `while` loop, and what statement is used to exit it?","Create it with `while True:`, and use the `break` statement to exit."
