What is the core principle of Inversion of Control (IoC) in the Spring Framework?,It's a design principle where the control of object creation and lifecycle is transferred from the application code to a container or framework.
"What is the default bean scope in Spring, and what does it signify?","The default scope is Singleton, which means only one instance of the bean is created per Spring application context and shared across all requests."
"The `@SpringBootApplication` annotation is a composite annotation that combines `@Configuration`, `@EnableAutoConfiguration`, and what other annotation?","`@ComponentScan`, which enables component scanning for beans."
"In Spring MVC, what is the purpose of the `@RestController` annotation?","It's a convenience annotation that combines `@Controller` and `@ResponseBody`, indicating that the return value of methods should be written directly to the HTTP response body."
Which Spring MVC annotation is used to map HTTP GET requests to a specific handler method?,The `@GetMapping` annotation.
What tool can be used to easily bootstrap a new Spring Boot project with desired dependencies?,"The Spring Initializr, available at start.spring.io."
What is the primary role of a `DispatcherServlet` in a Spring MVC application?,"It acts as the front controller, receiving all incoming HTTP requests and dispatching them to the appropriate handlers."
"To inject a value from `application.properties` into a bean's field, you would use the _____ annotation.",`@Value`
What is the purpose of Spring Profiles?,"They provide a way to segregate parts of your application configuration and make it available only in certain environments (e.g., dev, prod)."
"In Spring Boot, what property is used to activate a specific profile, such as 'dev'?",`spring.profiles.active=dev`
What is the function of the `@Autowired` annotation in Spring?,"It marks a constructor, field, or setter method to be automatically injected with a required dependency by the Spring container."
What is the difference between a JAR and a WAR packaging for a Spring Boot application?,"A JAR file is a self-contained executable with an embedded server, while a WAR file is packaged for deployment to an external application server."
"In REST API design, what HTTP method is idempotent and used to fully replace an existing resource?",PUT.
Which HTTP method is used to apply partial modifications to a resource?,PATCH.
What does HATEOAS stand for in the context of REST APIs?,Hypermedia as the Engine of Application State.
"To bind an incoming HTTP request body to a method parameter in a Spring controller, which annotation should be used?",The `@RequestBody` annotation.
What is the purpose of the `@PathVariable` annotation in Spring MVC?,It is used to bind a value from a placeholder in the request URI to a method parameter.
What is the role of the `@Valid` annotation when used on a controller method parameter?,It triggers the validation of the annotated object based on Java Bean Validation constraints.
"In Spring Data, what is the base interface that provides basic CRUD (Create, Read, Update, Delete) operations?",`CrudRepository`.
Term: Object-Relational Mapping (ORM),Definition: A programming technique for converting data between incompatible type systems in object-oriented programming languages and relational databases.
The _____ annotation from JPA is used to mark a Java class as a table in the database.,`@Entity`
"In JPA, the `@Id` annotation is used for what purpose?",To specify the primary key property or field of an entity.
What tool is commonly used with Spring Boot for managing database schema migrations and version control?,Flyway or Liquibase.
What is the primary benefit of using Testcontainers for integration testing?,"It provides lightweight, disposable instances of services like databases or message brokers in Docker containers, ensuring a clean and consistent test environment."
