In what year was Oracle V2 released?,1979-01-01
Which version of Oracle Database first introduced the PL/SQL procedural extension?,Oracle7
What is the name of the 'convenience table' in Oracle used for selecting literals or system values?,dual
"Originally intended to double rows via a JOIN, the 'dual' table now contains one row with which dummy value?",'X'
"When listing employees based on a condition like salary or birth date, which SQL clause is used to filter rows?",WHERE
"In a SQL query, which clause is required to filter groups of rows based on an aggregate condition like $COUNT(*) \ge 5$?",HAVING
"When inserting values into all columns of a table in order, what part of the INSERT statement can be omitted?",The target column list
"Because Oracle uses transactions, what command must be issued to make data changes permanent?",COMMIT
What client-side command is required in SQL*Plus to display the output of `DBMS_OUTPUT.PUT_LINE`?,SET serveroutput ON
"In a PL/SQL block, which keyword signals the end of the mandatory execution section?",END;
PL/SQL is an acronym for _____.,Procedural Language/Structured Query Language
A standard PL/SQL block consists of which three potential parts?,"Declarative, Executable, and Exception-handling"
Which section of a PL/SQL block is mandatory and must contain at least one instruction?,The Executable section (between BEGIN and END)
What specific command can be used in the BEGIN section to satisfy the requirement for an executable instruction while doing nothing?,NULL;
Which attribute is used to declare a variable with the same data type as a specific table column?,%TYPE
Which attribute is used to declare a record variable that represents a full row of a table or view?,%ROWTYPE
"In PL/SQL, every individual statement must end with which character?",A semicolon (;)
What is the primary purpose of a database 'View'?,To provide a simple way of fetching data from multiple tables.
"When creating a table, which constraint ensures a column is not left empty?",NOT NULL
How does a stored procedure improve performance compared to individual SQL statements?,The statements are stored on the server and do not need to be recompiled for every execution.
"In a PL/SQL procedure, which parameter mode is the default if none is specified?",IN
Which procedure parameter mode allows a value to be both read and modified by the procedure?,IN OUT
Which keyword is used instead of 'IS' when creating a standalone procedure?,AS
Which Data Dictionary view describes all objects currently in the database?,dba_objects
Which Data Dictionary view allows a user to see all the dictionary views they have access to?,dict
Which view describes the text source of stored objects owned by the current user?,USER_SOURCE
What is the synonym for the view 'USER_TAB_COLUMNS'?,COLS
Which view provides the specific version information for the Oracle Database?,v$version
"In Oracle, subtracting one DATE from another results in a number representing the difference in _____.",Days
"To find the difference between two dates in hours, the numerical result of the subtraction should be multiplied by _____.",$24$
Why is `TRUNC()` preferred over `FLOOR()` when calculating components of date differences?,To correctly handle negative differences.
Which session parameter determines the default format model used when Oracle implicitly converts a DATE to a string?,NLS_DATE_FORMAT
Which function is used to find the difference in months between two date values?,"MONTHS_BETWEEN(date1, date2)"
What calculation does `MONTHS_BETWEEN` use to determine partial months?,It assumes every month has 31 days.
"Which function can retrieve specific components like YEAR, MONTH, or DAY from a DATE value?",EXTRACT
"To use `EXTRACT` to find the 'HOUR' of a DATE variable, what must the DATE first be converted to?",A TIMESTAMP (via the CAST function)
"How does an ANSI DATE literal represent a date without time information (e.g., January 1, 2000)?",DATE '2000-01-01'
What is the standard practice for storing a date that does not require a time component?,"Setting the hours, minutes, and seconds to zero (midnight)."
A DATE stored in an Oracle table (Type 12) consists of how many bytes?,7 bytes
A DATE generated by `SYSDATE` (Type 13) that is not yet stored in a table consists of how many bytes?,8 bytes
"In the internal 7-byte storage of a DATE, which byte represents the Month?",Byte 3
"In the internal 8-byte representation of a DATE, how is the year calculated using Byte 1 and Byte 2?",$(7 \times 256) + 220$ (Example for Year 2012)
What is the purpose of the third parameter (`nls_params`) in the `TO_DATE` function?,To specify the language for language-specific terms like month names.
Oracle will implicitly cast a TIMESTAMP to a DATE when storing it in a column defined as what data type?,DATE
The view used to see all roles granted to a specific user is _____.,dba_role_privs
"Which Data Dictionary view describes the text source of all stored objects in the entire database, regardless of owner?",DBA_SOURCE
What is the difference between `ALL_SOURCE` and `USER_SOURCE`?,"ALL_SOURCE includes objects accessible to the user, while USER_SOURCE only includes objects owned by the user."
Which keyword is used to start the optional section of a PL/SQL block where variables are defined?,DECLARE
What happens if a PL/SQL block is executed with only BEGIN and END keywords and no instructions?,It raises an error (PLS-00103) because PL/SQL does not support empty blocks.
"In the syntax for creating a procedure, what does the 'OR REPLACE' option do?",It allows the modification of an existing procedure without dropping it first.
Stored procedures are beneficial for reducing _____ cost when transferring data between client and server.,Communication
Which function converts a numeric value representing days into a format that allows extracting individual time units?,NUMTODSINTERVAL()
What determines the output of a DATE when it is sent from the server to a client program like Python or Java?,The internal 7- or 8-byte representation (the DATE itself has no format).
Which SQL command is used to change the `NLS_DATE_FORMAT` for the current session only?,ALTER SESSION
"When using `TO_CHAR` with a date, what is the second, optional argument called?",format_model
