What is the core idea behind the 'microservice architectural style'?,"It is an approach to developing a single application as a suite of small, independently deployable services, each running in its own process."
"In a monolithic architecture, how are code components designed to work?","They are designed to work together as one cohesive unit, sharing the same server resources like memory and CPU."
"One benefit of microservices is _____, which allows each component to be deployed and scaled independently without service interruption.",scalability
What is meant by 'polyglot programming' in the context of microservices?,It means microservices can be written in different programming languages and use different databases or OS environments.
"According to the CNCF, what do cloud-native technologies empower organizations to do?","They empower organizations to build and run scalable applications in modern, dynamic environments like public, private, and hybrid clouds."
What is Continuous Integration (CI)?,"It is a software development practice where developers regularly merge their code changes into a central repository, after which automated builds and tests are run."
"What type of automated test is designed to test each individual piece of source code, such as functions and methods?",Unit tests.
What is the purpose of Quality tests or static code analysis in a CI/CD pipeline?,"They check that the code is well-formatted, follows best practices, and has no serious coding errors or patterns that might generate bugs."
What is Continuous Deployment (CD)?,It is an extension of continuous integration where every change that passes all stages of the CI pipeline is released automatically to a production or staging environment.
What is the fundamental concept of 'Pipeline as Code'?,"It is the practice of defining the entire continuous integration and continuous delivery pipeline in a text-based file, which is version-controlled alongside the application code."
"In Jenkins, what is the name of the text file that defines the CI/CD pipeline?",Jenkinsfile.
What is the purpose of the `agent` directive in a Declarative Jenkinsfile?,"It specifies where the entire pipeline, or a specific stage, will execute in the Jenkins environment, such as on a particular node or in a Docker container."
The `stages` block in a Declarative Jenkinsfile contains a sequence of one or more _____ directives.,stage
What does the 'Checkout' stage in a typical CI pipeline do?,"It pulls the latest changes from the source code repository (SCM), such as GitHub or Bitbucket."
What is the function of the Jenkins Pipeline Stage View plugin?,"It provides a visualization of the pipeline's stages, showing the progress and status of each stage for every build."
What is the role of a Jenkins 'worker' or 'agent' in a distributed Jenkins architecture?,"It is a separate machine that connects to the Jenkins master and is used to offload build jobs, allowing for parallel execution and specialized build environments."
What is one requirement for a worker machine to be added to a Jenkins cluster?,Java must be installed on the worker machine.
What is the primary drawback of using the JNLP (Java Web Start) method to connect a worker to the Jenkins master?,The worker machine cannot be started or restarted automatically by the Jenkins master if it goes down.
What is the principle of 'immutable infrastructure'?,"Instead of updating existing servers, any change is packaged into a new machine image, a new server is deployed from that image, and the old server is destroyed."
"Which HashiCorp tool is used for building automated machine images, often called 'golden images'?",Packer.
What is the typical three-step process Packer follows to create a machine image?,"1. Boot a temporary instance, 2. Provision the instance with configuration tools, 3. Create a new image from the provisioned instance and shut it down."
What is the purpose of placing Groovy scripts in the `$JENKINS_HOME/init.groovy.d` directory?,"Jenkins automatically executes these scripts during startup to perform initial configurations, such as creating users or setting security."
The _____ plugin in Jenkins allows you to bind credentials to environment variables for use in build steps.,Credentials Binding
What is Infrastructure as Code (IaC)?,"It is the process of managing and provisioning computer data centers through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools."
Which HashiCorp tool focuses on bootstrapping and initializing servers and other infrastructure resources across multiple cloud providers?,Terraform.
What is the name of the declarative language used by Terraform to describe infrastructure resources?,HashiCorp Configuration Language (HCL).
What does the `terraform plan` command do?,"It creates an execution plan, showing what actions Terraform will take to reach the desired state without actually applying the changes."
Which Terraform command is used to apply the changes required to reach the desired state of the configuration?,terraform apply
"In AWS, what is a Security Group?",It acts as a virtual firewall for your instance to control inbound and outbound traffic.
What is the purpose of an Internet Gateway (IGW) in an AWS VPC?,"It is a horizontally scaled, redundant, and highly available VPC component that allows communication between instances in your VPC and the internet."
"In AWS networking, what is the role of a NAT (Network Address Translation) Gateway?","It enables instances in a private subnet to connect to the internet or other AWS services, but prevents the internet from initiating a connection with those instances."
What is a 'bastion host' or 'jump box' in cloud architecture?,"It is a special-purpose computer on a network specifically designed and configured to withstand attacks, serving as a secure entry point to a private network from an external network."
"In Terraform, what does the `count` meta-argument allow you to do when defining a resource?",It allows you to create multiple instances of a resource without having to write a separate resource block for each one.
"In GCP, what is a service account used for?",It is a special type of Google account intended to represent a non-human user that needs to authenticate and be authorized to access data in Google APIs.
"In Azure, a _____ represents an application accessing your resources and is identified by a client ID and authenticated with a password or certificate.",service principal (SP)
What is the purpose of a 'monorepo' in source code management?,It is a single repository that contains the source code for multiple projects or microservices.
What is a multibranch pipeline job in Jenkins?,It's a feature that allows Jenkins to automatically discover branches in a source control repository and create corresponding pipeline jobs for them if they contain a Jenkinsfile.
How can you trigger Jenkins builds automatically when changes are pushed to a GitHub repository?,By configuring a webhook in the GitHub repository that sends a POST request to the Jenkins URL upon a push event.
What is the primary benefit of running automated tests inside Docker containers within a Jenkins pipeline?,"It provides a clean, consistent, and isolated execution environment for each build, avoiding conflicts with dependencies installed on worker nodes."
What is the function of a code linter?,"It analyzes source code to flag programming errors, bugs, stylistic errors, and suspicious constructs."
The `junit` step in a Jenkinsfile is used for what purpose?,"It is used to consume XML test reports (like those in JUnit format) to publish test results, track failures, and display trends."
What is Headless Chrome?,"It is a way to run the Chrome browser in a headless environment without its full graphical user interface, which is useful for automated UI testing."
What is SonarQube?,"It is an open-source platform for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities."
"In SonarQube, what is a 'Quality Gate'?","It is a set of conditions that a project must meet before it can be qualified for release, such as code coverage percentage or number of critical vulnerabilities."
The `waitForQualityGate` step in a Jenkins pipeline integrated with SonarQube does what?,It pauses the pipeline execution until SonarQube has completed its analysis and reports the status of the Quality Gate.
