What is a major advantage of static factory methods over constructors regarding object creation?,"Unlike constructors, they are not required to create a new object each time they're invoked, allowing for caching or reusing instances."
What flexibility do static factory methods have regarding their return type that constructors lack?,"They can return an object of any subtype of their return type, enabling APIs to return objects without making their implementation classes public."
What is the main limitation of providing only static factory methods for a class?,Classes without public or protected constructors cannot be subclassed.
"When constructing an object with many optional parameters, the _____ pattern is a good choice as it combines safety and readability.",Builder
What is the most concise and preferred approach for implementing a singleton in modern Java?,Declare a single-element enum type.
How can you enforce noninstantiability for a utility class that only contains static methods and fields?,By making its constructor private.
What performance issue can arise from unintentional autoboxing in a loop?,"It can lead to the creation of a vast number of unnecessary objects, significantly degrading performance."
A class that _____ is susceptible to memory leaks and should be alert to nulling out obsolete references.,manages its own memory
What common sources of memory leaks involve object references being held longer than necessary?,"Caches, listeners, and other callbacks."
"Instead of using finalizers or cleaners for resource termination, what should a class implement?","The `AutoCloseable` interface, requiring clients to call the `close` method, typically using try-with-resources."
What are the two legitimate uses for cleaners and finalizers?,"To act as a safety net in case a resource owner neglects to call `close`, or to terminate noncritical native resources."
Why is the `try-with-resources` statement preferred over the `try-finally` block for closing resources?,"It produces shorter, more readable code and provides better diagnostics by not suppressing original exceptions."
"In the `equals` contract, the _____ property states that for any non-null reference value x, `x.equals(x)` must return true.",reflexivity
Why is it problematic for a subclass to add a new value component and override `equals` without respecting the superclass's `equals` method?,It often violates the symmetry or transitivity requirements of the `equals` contract.
What is the key provision of the `hashCode` contract that is violated if you override `equals` but not `hashCode`?,Equal objects must have equal hash codes.
What is the consequence of a `hashCode` implementation that returns the same value for every object?,"Hash tables degenerate to linked lists, causing programs that should run in linear time to run in quadratic time."
"If a value class has an obvious natural ordering, what interface should it implement?",The `Comparable` interface.
"In a `compareTo` implementation, why should you avoid using subtraction (e.g., `o1.hashCode() - o2.hashCode()`) for comparison?",It can lead to integer overflow and violates the transitivity requirement of the `Comparator` contract.
"In Java, the rule for reducing accessibility of an overridden method in a subclass is that it _____.",cannot have a more restrictive access level than in the superclass
What is the primary reason public classes should not expose mutable fields?,"It relinquishes the ability to enforce invariants, take auxiliary actions when a field is accessed, and change the internal representation later."
"To guarantee immutability, a class must ensure that it cannot be extended. What are the two ways to achieve this?","Make the class `final`, or make all of its constructors private or package-private and use static factories."
What is a major benefit of immutable objects in concurrent programming?,They are inherently thread-safe and require no synchronization.
"The _____ pattern, where a new class provides the same interface but holds an instance of the original class, is a superior alternative to inheritance.",wrapper class (or composition)
Why must a class designed for inheritance document its self-use of overridable methods?,To allow subclass authors to understand the semantics of overriding methods and avoid breaking class invariants.
What is a key advantage of using interfaces over abstract classes for defining types?,"Existing classes can easily be retrofitted to implement a new interface, whereas they generally cannot be retrofitted to extend a new abstract class."
What is a skeletal implementation class?,An abstract class provided with an interface that implements the remaining non-primitive interface methods atop the primitive ones.
What risk is associated with adding a default method to an existing interface?,It can cause existing implementations to fail at runtime if the default implementation does not maintain their invariants.
