در JSF، تفاوت اصلی بین نحو `${}` و `#{}` در چیست؟,`${}` برای ارزیابی فوری (Immediate) و `#{}` برای ارزیابی تأخیری (Deferred) استفاده می‌شود.
در ارزیابی تأخیری (Deferred Evaluation)، مقادیر معمولاً با چه نمادی مشخص می‌شوند؟,با نماد `#{}` مشخص می‌شوند.
عبارت ارزیابی فوری (Immediate Evaluation) چه زمانی نتیجه را بازمی‌گرداند؟,به محض اینکه صفحه برای اولین بار رندر می‌شود.
کدام کلمه رزرو شده در EL برای بررسی تهی بودن (null) یا خالی بودن یک مقدار استفاده می‌شود؟,کلمه رزرو شده `empty`.
در EL 3.0، عملگر جدید برای الحاق رشته‌ها (String concatenation) چیست؟,عملگر `+=` برای این کار استفاده می‌شود.
عملگر `=` در EL 3.0 چه کاربردی دارد؟,این عملگر برای واگذاری (Assignment) یک مقدار به یک متغیر استفاده می‌شود.
در EL، متغیرهایی که هم قابلیت خواندن و هم نوشتن دارند چه نامیده می‌شوند؟,به این متغیرها `lvalue` گفته می‌شود.
اگر یک Managed Bean با نام `PlayersBean` تعریف شده باشد، نام پیش‌فرض آن در EL چیست؟,نام پیش‌فرض آن `playersBean` (با حروف کوچک در ابتدا) است.
برای دسترسی به ویژگی‌های یک Bean در EL، علاوه بر نقطه (`.`) از چه نحو دیگری می‌توان استفاده کرد؟,از کروشه به همراه نام ویژگی در کوتیشن، مانند `['propertyName']`.
در EL 3.0، نحو تعریف یک عبارت لامبدا (Lambda expression) چگونه است؟,به صورت `(parameters) -> expression` تعریف می‌شود.
خروجی عبارت `#{(x -> x + 1)(3)}` در EL 3.0 چیست؟,خروجی آن عدد $4$ است.
عملگر نقطه ویرگول (`;`) در EL 3.0 چه عملی انجام می‌دهد؟,ابتدا عبارت اول را ارزیابی و مقدارش را حذف می‌کند، سپس عبارت دوم را ارزیابی و مقدار آن را بازمی‌گرداند.
مفهوم `base` در یک عبارت EL (قبل از نقطه یا کروشه) به چه معناست؟,نشان‌دهنده محلی است که نمونه‌های Bean در آن قرار دارند (مانند اشیاء ضمنی یا محدوده‌ها).
کدام شیء ضمنی (Implicit Object) در EL برای دسترسی به پارامترهای مقداردهی اولیه متن (Context) استفاده می‌شود؟,شیء `initParam`.
برای دسترسی به کوکی‌ها در صفحات JSF از طریق EL، از کدام شیء ضمنی استفاده می‌شود؟,از شیء `cookie` استفاده می‌شود.
در EL 3.0، برای تبدیل یک مجموعه (Collection) به جریان داده جهت پردازش، از چه متدی استفاده می‌شود؟,از متد `stream()` استفاده می‌شود.
