What is Kubernetes?,An open-source container orchestration framework originally developed by Google for managing containerized applications across different environments.
What three core features does a container orchestration tool like Kubernetes guarantee for applications?,"High availability (no downtime), scalability (high performance), and disaster recovery (data restoration)."
What is the smallest deployable unit of computing that can be created and managed in Kubernetes?,A Pod.
"A Pod is an abstraction layer over a _____, allowing Kubernetes to manage the running environment without directly interacting with the container technology.",container
Why are Pods in Kubernetes described as 'ephemeral'?,Because they can die easily and are replaced with a new instance that gets a new IP address.
"What Kubernetes component provides a static, permanent IP address for a set of Pods to solve the problem of ephemeral Pod IP addresses?",A Service.
What is the function of an 'internal service' in Kubernetes?,"It provides a stable IP address for communication between Pods within the cluster, without exposing them to the public."
"Which Kubernetes component is used to manage external access to services in a cluster, typically handling HTTP/HTTPS routing with domain names?",Ingress.
"For external configuration data like URLs or properties, which Kubernetes component is used to decouple configuration from the application container?",ConfigMap.
What is the primary difference between a ConfigMap and a Secret in Kubernetes?,"A Secret is used for sensitive data like passwords and is stored in a base64 encoded format, whereas a ConfigMap is for non-sensitive data in plain text."
"How is data persistence achieved in Kubernetes for a Pod, ensuring data survives restarts?","By using a Volume, which attaches a physical storage on a hard drive (local or remote) to the Pod."
"In Kubernetes, a _____ acts as a blueprint for creating and managing a set of replicated, stateless application Pods.",Deployment
Why would you typically work with Deployments instead of creating Pods directly?,"Deployments manage the replication, scaling, and updates of Pods, providing a higher level of abstraction and control."
"For stateful applications like databases that require stable, unique network identifiers and persistent storage, which Kubernetes component should be used instead of a Deployment?",StatefulSet.
What is a common practice for hosting databases when using Kubernetes to avoid the complexity of StatefulSets?,To host the database outside of the Kubernetes cluster and have applications inside the cluster communicate with it externally.
"In Kubernetes architecture, what is the role of a Worker Node?",A Worker Node is a server that runs the application Pods and containers.
What are the three essential processes that must be installed on every Kubernetes Worker Node?,"A container runtime (like Docker), kubelet, and kube-proxy."
What is the responsibility of the `kubelet` process on a Worker Node?,It is the primary node agent that communicates with the Master Node and is responsible for running the pods and containers assigned to its node.
What is the function of `kube-proxy` on a Worker Node?,It maintains network rules on nodes and enables communication by forwarding requests from Services to the correct Pods.
"In Kubernetes architecture, the _____ nodes control the cluster state and manage the Worker Nodes.",Master
What are the four processes that run on every Kubernetes Master Node?,"API Server, Scheduler, Controller Manager, and etcd."
"Which Master Node process acts as the gateway to the Kubernetes cluster, handling all incoming requests and authentication?",The API Server.
What is the primary role of the Scheduler in a Kubernetes Master Node?,It decides which Worker Node a new Pod should be scheduled on based on resource availability and other constraints.
"Which Master Node component detects cluster state changes, such as a crashed Pod, and attempts to recover the state by rescheduling it?",The Controller Manager.
What is `etcd` in the context of Kubernetes?,"It is a key-value store that acts as the cluster's brain, storing all cluster state information."
What is Minikube used for?,It is a tool that creates a single-node Kubernetes cluster on a local machine for testing and development purposes.
What is `kubectl`?,"It is the command-line tool used to interact with any Kubernetes cluster to create, configure, and manage resources."
Which `kubectl` command is used to list all the pods in the current namespace?,`kubectl get pods`
"Instead of creating Pods directly with `kubectl`, you typically create a _____ which then manages the creation of Pods.",Deployment
What is the purpose of a ReplicaSet in Kubernetes?,"A ReplicaSet's purpose is to maintain a stable set of replica Pods running at any given time, and it is typically managed by a Deployment."
How can you view the logs of an application running inside a specific Pod?,Using the `kubectl logs <pod-name>` command.
Which command allows you to get an interactive terminal session inside a running container within a Pod?,`kubectl exec -it <pod-name> -- /bin/bash` (or a similar shell).
"In practice, instead of using many command-line options, how are Kubernetes components usually created and configured?",By using YAML configuration files that are applied with the `kubectl apply -f <filename>` command.
What is the benefit of using `kubectl apply` over `kubectl create`?,"`kubectl apply` can both create a resource if it doesn't exist and update it if it already exists, based on the configuration file."
What are the three main parts of every Kubernetes configuration file?,"Metadata, Specification (spec), and an auto-generated Status."
What is the purpose of the `spec` (specification) section in a Kubernetes YAML file?,"It defines the desired state of the component, including all its configuration settings."
