What is the primary architectural style of a microservices application?,"It arranges an application as a collection of loosely coupled, fine-grained services."
"In a monolithic architecture, how is the system typically deployed?","It is deployed as a single unit, with all files and components copied to a server at once."
"Which software design pattern, documented by Martin Fowler, is used to incrementally transform a monolithic system into microservices?",The Strangler pattern.
What is a major drawback of microservices architecture mentioned in the course?,"It can add extra complexity, as you end up with many smaller pieces to manage, secure, and test."
"In microservices, there's a risk that a change to one service can cause a system-wide failure. What is this effect called?",A domino effect.
What is a benefit of microservices regarding system resilience?,"Since each microservice runs in its own address space, if one goes down, it's less likely to take the whole system down with it."
"A potential drawback of microservices is that calls between services go through APIs, which adds a small delay. What is this delay called?",Latency.
What architectural approach takes advantage of modern development practices and cloud infrastructure to build complex systems?,Cloud Native.
What does the cloud-native concept of 'immutable infrastructure' mean?,"It means infrastructure is never updated in place; instead, it is replaced with a newer version."
The CNCF categorizes its open-source projects into three maturity levels. What are they?,"Sandbox, incubating, and graduated."
"Graduated projects in the CNCF landscape, such as Kubernetes and Helm, are generally considered suitable for what type of organization?",Conservative enterprises.
"In cloud-native terminology, containers are often treated more like _____ than pets.",cattle
What is a container in the context of software deployment?,"A unit of deployment containing everything needed for the code to run, including the code, runtime, and system libraries."
How do containers differ from Virtual Machines (VMs) in terms of what they virtualize?,"A VM virtualizes the hardware, while a container virtualizes the operating system by sharing the host OS kernel."
What is the primary reason containers start much faster than VMs?,Containers do not have to boot a full operating system because they use the host OS kernel.
"Docker uses a local _____ to store container images, which prevents re-downloading layers that already exist locally.",cache
What is a container registry?,"A centralized repository where container images are stored, similar to Git for source code."
What is the role of a container orchestrator like Kubernetes?,"It allows you to manage, scale, and monitor the containers running on your servers."
"What is the easiest way to run Docker on a local machine (Windows, Mac, or Linux)?",By installing Docker Desktop.
"On Windows, what technology allows Docker Desktop to run a Linux distribution within the Windows installation for better performance?",Windows Subsystem for Linux version 2 (WSL2).
What Docker CLI command displays information about the Docker installation on your machine?,docker info
What command is used to download a container image from a registry without running it?,docker pull
What is the function of the `-d` flag in the `docker run` command?,"It runs the container in detached mode (in the background), giving you your terminal prompt back."
The `docker ps` command lists running containers. What flag do you add to also list stopped containers?,The `-a` flag.
"What command allows you to execute a command, such as opening a shell, inside a running container?",docker container exec
What command is used to delete a stopped container from memory?,docker rm (or docker remove)
What command is used to delete a container image from your local machine?,docker rmi (or docker remove image)
What is the purpose of the `docker system prune` command?,"It deletes all images currently not in use, which helps with spring cleanup."
"In a Dockerfile, what command specifies the base image from which you are building?",The `FROM` command.
What is the function of the `COPY` command in a Dockerfile?,It copies files or folders from the host machine into the container's filesystem.
"In a Dockerfile, the `RUN` command is used to _____.",execute commands inside the container during the image build process
What does the `EXPOSE` command in a Dockerfile do?,"It adds metadata to the image, informing Docker that the container listens on the specified network port at runtime."
The `CMD` instruction in a Dockerfile specifies what?,The command to run when the container starts.
"In Docker, where must data be stored to persist after a container crashes or is destroyed?","Outside the container, in what is called a volume."
What is the function of the `-v` (or `--volume`) parameter in the `docker run` command?,It maps an external folder or a Docker volume to a local folder inside the container.
What does YAML stand for?,YAML Ain't Markup Language.
What is the purpose of Docker Compose?,To define and run multi-container Docker applications using a single YAML file.
"In a Docker Compose file, the code running in one container can communicate with another using its _____ as the hostname.",service name
What Docker Compose command both builds the images (if they don't exist) and starts the services?,docker compose up
The `docker compose down` command performs which two actions?,It stops the containers and then removes them from memory.
What command is used to push a locally built Docker image to a container registry like Docker Hub?,docker push
What does the abbreviation K8s stand for?,"Kubernetes (K, 8 letters, s)."
What is the name of the component in the Kubernetes control plane that exposes the Kubernetes REST API?,The API server.
"In the Kubernetes architecture, what are the machines that run your application containers called?",Worker nodes.
What is the command-line tool for interacting with a Kubernetes cluster?,kubectl
