What is a major advantage of static factory methods over constructors regarding object creation?,"Unlike constructors, they are not required to create a new object each time they're invoked, allowing for pre-constructed instances or caching."
"A second advantage of static factory methods is that, unlike constructors, they can return an object of any _____ of their return type.",subtype
What is the main limitation of providing only static factory methods for a class?,Classes without public or protected constructors cannot be subclassed.
"When designing a class with many optional parameters, what pattern combines the safety of telescoping constructors with the readability of JavaBeans?",The Builder pattern.
"In the Builder pattern, the builder's setter methods typically return the builder itself. What is the resulting API style called?",A fluent API.
"What is the preferred approach for implementing a singleton, providing a guarantee against multiple instantiations even in the face of serialization or reflection attacks?",A single-element enum type.
How can you enforce noninstantiability for a utility class that is just a grouping of static methods and fields?,By making its constructor private.
Why is using `String.matches` for repeated use in performance-critical situations a bad practice?,"It internally creates a `Pattern` instance on every call, which is expensive as it requires compiling a regular expression."
What is unintentional autoboxing and why can it severely degrade performance?,"It's the automatic conversion between primitive and boxed primitive types, which can lead to creating a large number of unnecessary objects in loops."
"In a class that manages its own memory, such as a custom stack, what must a programmer do to prevent memory leaks from 'obsolete references'?",Manually null out references to objects once they are no longer part of the active portion of the data structure.
What are three common sources of memory leaks in Java?,"Classes that manage their own memory, caches, and listeners or other callbacks."
What is the recommended alternative to using finalizers or cleaners for resource cleanup?,Have the class implement `AutoCloseable` and require clients to use the `try-with-resources` statement.
"What are the two legitimate, but limited, uses for cleaners and finalizers?","To act as a safety net in case a resource's `close` method is neglected, and to terminate noncritical native resources."
Why is `try-with-resources` superior to `try-finally` for closing resources?,It is more concise and provides better exception handling by correctly managing suppressed exceptions.
Under what circumstance is it appropriate to override the `equals` method?,When a class has a notion of logical equality that differs from mere object identity and a superclass has not already provided a suitable override.
"The `equals` contract states that for any non-null reference values x and y, `x.equals(y)` must return true if and only if `y.equals(x)`. What is this property called?",Symmetry.
"If you override the `equals` method, what other method must you always override?",The `hashCode` method.
What is the key provision of the `hashCode` contract that is violated if you override `equals` but not `hashCode`?,Equal objects must have equal hash codes.
"What is a simple, effective recipe for computing a hash code?","Combine the hash codes of significant fields, multiplying the accumulated result by 31 before adding the hash code of the next field."
Why is providing a good `toString` implementation important for a class?,"It makes the class more pleasant to use and systems using it easier to debug, as `toString` is automatically invoked by `println`, debuggers, and assertion messages."
"If you are writing a value class with an obvious natural ordering, what interface should you implement to allow it to be easily sorted and used in comparison-based collections?",The `Comparable` interface.
"When implementing a `compareTo` method, why should you avoid using the `<` and `>` operators on the results of subtracting integer fields?",This approach can cause integer overflow and violates the transitivity requirement of the `Comparator` contract.
What is the fundamental principle of encapsulation that guides class design?,"Minimize the accessibility of classes and members, making each component as inaccessible as possible."
When can a `public static final` field be considered an acceptable constant?,Only when it contains either a primitive value or a reference to an immutable object.
Why should public classes never expose mutable fields?,"Doing so relinquishes the ability to limit the values a field can contain, enforce invariants, or take action when the field is modified."
What is the first rule for creating an immutable class?,Do not provide any methods that modify the object's state (mutators).
How can a class guarantee its immutability against subclassing?,By making the class `final` or by making all of its constructors private or package-private and using static factories.
Inheritance is inappropriate for classes in different packages that are not designed for it because it violates _____.,encapsulation
"What design pattern provides a safe, powerful alternative to inheritance for adding functionality to a class?","The wrapper class pattern (also known as the decorator pattern), which uses composition."
"For a class designed for inheritance, what must its constructors not do?","They must not invoke any of their overridable methods, directly or indirectly."
What documentation tag should be used to describe a method's self-use patterns and internal workings for subclasses?,The `@implSpec` Javadoc tag.
What is a key advantage of using interfaces over abstract classes to define types?,"Existing classes can easily be retrofitted to implement a new interface, whereas they generally cannot be retrofitted to extend a new abstract class."
An abstract class that is provided with an interface to help with implementation is known as a _____.,skeletal implementation class
