What is jQuery?,"jQuery is an open-source, fast, tiny, and feature-rich JavaScript library designed to simplify interaction with HTML documents, including DOM traversal and manipulation, event handling, and animations."
What problem did John Resig aim to solve when he created jQuery in 2006?,He aimed to overcome the complexity and frustration of cross-browser JavaScript compatibility issues.
What are the two primary ways to include jQuery in an HTML file?,"You can either download the jQuery file and host it locally, or you can use a Content Delivery Network (CDN) link."
What is a major requirement for using a CDN to include jQuery?,An active internet connection is required for the browser to fetch the library from the CDN's servers.
Why is it recommended to place the `<script>` tag for jQuery at the bottom of the `<body>` tag?,"This practice ensures the HTML document is rendered first, so jQuery has access to all the DOM elements when it loads."
"In jQuery, the `$` sign is primarily used as a _____.",selector
What is the jQuery syntax to select an HTML element with the ID 'img1'?,$('#img1')
Which jQuery method can be used to both fade in and fade out an element with a single function call?,The `.fadeToggle()` method.
What does the `$(document).ready(function(){...});` event ensure?,It ensures that the jQuery code inside the function only runs after the entire HTML document's DOM is fully loaded and ready.
How do you select all `<p>` (paragraph) elements on a page using jQuery?,$('p')
What is the jQuery equivalent of the JavaScript `ondblclick` event?,The `.dblclick()` event method.
The jQuery `.mouseenter()` event is equivalent to which native JavaScript event?,The `onmouseover` event.
The jQuery `.mouseleave()` event is equivalent to which native JavaScript event?,The `onmouseout` event.
Which two jQuery methods are used to respectively hide and display an element?,The `.hide()` and `.show()` methods.
The _____ method in jQuery combines the functionality of `.hide()` and `.show()` into one.,.toggle()
"How can you specify the duration of a jQuery effect, such as making a fade-out take 3 seconds?","Pass the duration in milliseconds as an argument to the effect method, for example: `.fadeOut(3000)`."
Which jQuery method is used to create custom animations by manipulating CSS properties?,The `.animate()` method.
What is the purpose of the `.stop()` method in jQuery animations?,It stops the currently running animation on the selected element.
A _____ function in jQuery is a function that is executed after the current effect is finished.,callback
What is 'chaining' in jQuery?,"Chaining is the practice of running multiple jQuery methods, one after the other, on the same selection within a single statement."
What is the key difference in execution timing between a callback function and a chained method in jQuery?,"A callback function waits for the preceding effect to complete, while a chained method executes immediately."
"Which jQuery method is used to get the text content of an element, excluding any HTML tags?",The `.text()` method.
"Which jQuery method is used to get the inner content of an element, including any HTML tags?",The `.html()` method.
"How can you get or set the value of an HTML attribute, like `src` or `href`, using jQuery?","Using the `.attr()` method, e.g., `$('img').attr('src')` to get or `$('img').attr('src', 'new.jpg')` to set."
The _____ method in jQuery inserts content at the end of the selected element(s).,.append()
The _____ method in jQuery inserts content at the beginning of the selected element(s).,.prepend()
What is the difference between the `.append()` and `.after()` methods in jQuery?,"`.append()` inserts content inside the selected element at the end, while `.after()` inserts content outside the selected element, immediately following it."
Which jQuery method removes the selected element(s) and all of its child elements from the DOM?,The `.remove()` method.
What is the difference between jQuery's `.remove()` and `.empty()` methods?,"`.remove()` deletes the element itself, while `.empty()` only removes the child elements, leaving the original element in the DOM."
What is jQuery UI?,"jQuery UI is a curated set of user interface interactions, effects, widgets, and themes built on top of the jQuery JavaScript Library."
What is the correct order for including jQuery and jQuery UI script files in an HTML document?,The core jQuery library file must be included before the jQuery UI library file.
What is a 'widget' in the context of jQuery UI?,"A widget is a component of an interface, like a date picker or an accordion, that enables a user to perform a function or access a service with minimal code."
