"In the context of a web or application server, what is a web application?",A dynamic extension of the server.
Which two Java technologies are typically used to create web applications?,JavaServer Faces (JSF) technology and Java Servlet technology.
What type of web application focuses on generating interactive web pages with dynamic content in response to requests?,Presentation-oriented web application.
A service-oriented web application is primarily designed to implement the _____ of a web service.,endpoint
"In the Java EE platform, what are the four specific types of web components?","Java servlets, JavaServer Faces web pages, web service endpoints, and JSP pages."
"During request handling, what does a web server convert an HTTP request into for delivery to a web component?",An HttpServletRequest object.
Which object is generated by a web component to eventually be converted back into an HTTP response by the web server?,An HttpServletResponse object.
What type of Java components can a web component interact with to generate dynamic content from a database?,JavaBeans components.
What is the primary strength of servlets compared to JavaServer Faces?,"Handling control functions, service-oriented endpoints, and nontextual data."
Which Java technology is most appropriate for generating text-based markup like XHTML in presentation-oriented applications?,JavaServer Faces (and Facelets).
What is the name of the runtime platform that provides services like security and concurrency to web components?,Web container.
List three services provided by a web container to web components.,"Request dispatching, security, and lifecycle management."
Web application configuration is typically handled through Java EE annotations or a text file called a _____.,deployment descriptor (DD)
What specific file format and schema must a web application deployment descriptor conform to?,XML format conforming to the Java Servlet specification.
"In the web application lifecycle, what step follows the compilation of web components and helper classes?",Optionally packaging the application into a deployable unit.
"In the web application lifecycle, what is the final step performed by the user to run the application?",Accessing a URL that references the web application.
What is the default landing page file name for a Facelets application?,index.xhtml
"In JSF, which tag is used to create a text entry field that maps to a managed bean property?",h:inputText
How does a Facelets web page retrieve the value of a property from a managed bean?,"Using an Expression Language (EL) value expression, such as #{hello.name}."
"By default, if no name is specified in the @Named annotation, how is a managed bean class like 'UserBean' accessed in EL?","By using the class name with the first letter in lowercase (e.g., userBean)."
Which JSF attribute on a command button determines the next page to be displayed upon a click?,The action attribute.
What is the purpose of the getter and setter methods in a JSF managed bean class?,To provide access to properties used in Facelets page expressions.
Which CDI stereotype annotation encapsulates both @Named and @RequestScoped?,@Model
"In a JSF web.xml file, what does the context parameter 'javax.faces.PROJECT_STAGE' typically specify during development?",Development
Which servlet class must be mapped in web.xml to handle all files with the .xhtml suffix in a JSF application?,javax.faces.webapp.FacesServlet
How is 'scope' defined in the context of a web application?,Scope defines how application data persists and is shared.
Which managed bean scope persists only during a single HTTP request?,@RequestScoped
Which managed bean scope should be used when data needs to be maintained across multiple HTTP requests from the same user?,@SessionScoped
Which managed bean scope persists across all users' interactions with a web application?,@ApplicationScoped
What is the file extension for a packaged web module in Java EE?,.war
"In GlassFish Server, what is the effect of 'dynamic reloading' being enabled?",The server automatically redeploys the application when changed pages or class files are copied to the deployment directory.
What is a major disadvantage of using dynamic reloading in a production environment?,It may degrade performance and invalidates active sessions.
What are the two primary components of a URL path used by a web container to map a request?,The context root and the URL pattern.
Which annotation is used in a servlet source file to set its URL pattern?,@WebServlet
"To access a servlet using only the context root, what value should be specified as the URL pattern?","""/"""
Which HttpServlet method is typically overridden to implement the GET method of HTTP?,doGet
"In a servlet, which object is used to send HTML content back to the client browser?",PrintWriter
"How does a servlet retrieve a specific form parameter, such as 'username', from an HTTP request?","By calling request.getParameter(""username"")."
What is the scope of availability for context parameters defined in a web application?,They are available to the entire application.
What is the 'welcome files' mechanism in a web container?,A list of files the container appends to a URL request that is not mapped to a specific web component.
"If no welcome file is specified in web.xml, what file does GlassFish Server use as the default?",index.html
How does a web container react if a request is made for a directory that has no mapped welcome file and no index.html?,It returns a directory listing.
"In web.xml, what element is used to map specific HTTP status codes or Java exceptions to custom error screens?",error-page
What is the primary restriction on using resource injection (annotations) in web applications?,Resources can only be injected into container-managed objects.
Which annotation is used to inject a reference to a data source or an environment entry?,@Resource
"If a component requires multiple resource injections, which annotation acts as a container for multiple @Resource declarations?",@Resources
"Which annotation is used to declare a reference to a web service, often specifying a WSDL location?",@WebServiceRef
Name three types of web components that accept resource injections according to Table 6-1.,"Servlets, Servlet filters, and Managed beans (POJOs)."
What information does the 'wsdlLocation' element of @WebServiceRef provide?,The URI of the deployed service's WSDL file.
"In JSF, the _____ attribute of h:inputText defines the error message shown if a required field is left empty.",requiredMessage
Term: Managed Bean,Definition: A container-managed Java object used in JSF to handle application logic and data for web pages.
"In a servlet context, what is the purpose of a RequestDispatcher?",To forward a request to another resource or include the response of another resource.
Which GlassFish directory can be used for 'autodeploy' by simply copying a WAR file into it?,domain-dir/autodeploy/
What is the default port and host for a web application deployed on a local GlassFish Server?,localhost:8080
What does the JSF context-param 'javax.faces.PROJECT_STAGE' help developers with?,It provides configuration information needed by the application to provide better debugging info during development.
