What is the primary function of Hibernate as an Object/Relational Mapper (ORM)?,It simplifies the use of relational databases in Java applications by presenting relational data as simple Java objects (POJOs).
"What standard API, in addition to its native API, does Hibernate provide for object persistence?",The Jakarta EE standard Java Persistence API (JPA).
"In the context of Hibernate, what does the acronym POJO stand for?","Plain Old Java Object, a simple object containing properties and methods, primarily used for holding a program state."
Which JPA annotation is required to mark a Java class as an entity to be managed by Hibernate?,The `@javax.persistence.Entity` annotation.
What JPA annotation is used to designate a field as the primary key for a database table?,The `@javax.persistence.Id` annotation.
The JPA annotation _____ provides information to Hibernate about how a primary key's value should be populated.,`@javax.persistence.GeneratedValue`
What is the purpose of the `@javax.persistence.Column` annotation?,"It allows control over aspects of the database column that a field maps to, such as nullability or name."
"In a `hibernate.cfg.xml` file, what does the `dialect` property specify?","It tells Hibernate how to write SQL for a specific database, such as H2, PostgreSQL, or MySQL."
What is the function of the `hbm2ddl.auto` property in Hibernate's configuration?,"It tells Hibernate whether it should manage the database schema, with options like `create-drop` to create the schema on initialization and drop it when done."
What is the role of the `SessionFactory` object in a Hibernate application?,"It is a thread-safe, heavyweight object responsible for creating `Session` objects for a specific database configuration."
Describe the lifecycle and thread-safety of a Hibernate `Session` object.,"A `Session` is a non-thread-safe, lightweight object that should be created for a specific unit of work and discarded once that work is complete."
"When an object is newly created with `new` and is not yet associated with a Hibernate session, it is in the _____ state.",transient
What is the state of an object that is associated with a Hibernate session and has a representation in the database?,Persistent state.
An object that was previously in a persistent state but whose session has been closed is in the _____ state.,detached
"When an object in a persistent state is passed to `Session.delete()`, it transitions to the _____ state within the current transaction.",removed
What is a transaction in the context of a database?,"A bundled unit of work that ensures a series of operations are either all committed to the database or all rolled back, maintaining data consistency."
What method on the `Transaction` object is called to discard all changes made within that transaction?,The `rollback()` method.
What type of database key is generated arbitrarily by the database (like an auto-incrementing number) and has no inherent meaning to the application's data?,An artificial identifier.
"A database key that is meaningful to the application, such as a user ID or Social Security number, is known as a(n) _____ identifier.",natural
"In `@GeneratedValue`, what does `GenerationType.IDENTITY` specify?","It indicates that the primary key is generated by an identity column in the database, which relies on the database's native sequencing mechanism."
"Which `GenerationType` in `@GeneratedValue` relies on a database sequence object, which is independent of any particular table?",`GenerationType.SEQUENCE`
The `GenerationType.TABLE` strategy in `@GeneratedValue` uses a separate _____ to simulate a sequence for generating primary key values.,database table
"In a bidirectional association, what is the purpose of the `mappedBy` attribute in an annotation like `@OneToOne`?",It indicates that the side without `mappedBy` is the owner of the relationship and is responsible for managing the foreign key in the database.
What is the primary difference between the `session.load()` and `session.get()` methods for retrieving an entity?,"`get()` returns null if the object is not found, whereas `load()` throws an `ObjectNotFoundException`."
