Which type of HTML element starts on a new line and extends the full width of the page?,A block element.
Which type of HTML element only occupies the width of its content and does not start on a new line?,An inline element.
Name two examples of HTML block elements.,Paragraphs (`<p>`) and list items (`<li>`).
Name two examples of HTML inline elements.,Anchor tags (`<a>`) and images (`<img>`).
"In a CSS rule, what is the term for the part that selects the HTML element to be styled?",The selector.
"In a CSS rule, a combination of a property and a value is called a _____.",declaration
What is the term for multiple CSS declarations enclosed in curly brackets `{}`?,A declaration block.
What are the three methods for including CSS in an HTML document?,"Inline CSS, Internal CSS, and External CSS."
Which method of including CSS is considered best practice for managing styles across multiple pages?,"External CSS, using a `<link>` tag to a separate `.css` file."
Why is inline CSS (using the `style` attribute) generally considered bad practice?,"Because you have to duplicate every style for every single tag, making it difficult to maintain."
The CSS property `font-weight` sets the _____ of text characters.,thickness
What is the numeric value for a `normal` font-weight in CSS?,400.
"What is the numeric value for a `bold` font-weight in CSS, which is also the default for headings?",700.
"What CSS property is used to set decorative lines on text, such as an underline or line-through?",`text-decoration`.
What is the primary use case for the `text-decoration` property in modern web design?,To remove the default underline from anchor tags using the value `none`.
The CSS property `font-style` is most commonly used to apply what style to text?,`italic`.
What is the purpose of the `list-style` property in CSS?,"It sets the style of the marker (e.g., bullet point) for a list item."
"What is the most common use case for the `list-style` property, especially for navigation bars?",Setting it to `none` to remove default bullet points when lists are used for structural purposes.
The CSS property `text-align` controls the horizontal alignment of text within which type of element?,A block-level element.
Why does `text-align` have no effect on inline elements by default?,"Because an inline element's box is only as wide as its content, leaving no extra space for the text to move within."
What does the `line-height` property control in CSS?,"The amount of space above and below inline elements, effectively setting the distance between lines of text."
The CSS property _____ controls the space between individual characters in a block of text.,`letter-spacing`
"In CSS, what is the difference between absolute and relative units for sizing?","Absolute units (like pixels) are fixed, while relative units are based on the size of a parent element and can adjust proportionally."
What is a pixel (px) in the context of CSS?,"A single, fixed-size point of light on a digital display, representing an absolute unit of measurement."
How do you import a font from Google Fonts into an HTML document?,By copying the provided `<link>` tags from Google Fonts and pasting them into the `<head>` section of the HTML file.
The CSS property for setting the color of text is simply `_____`.,`color`
"What color system, commonly used in electronic displays and CSS, starts with black and combines red, green, and blue light?",The additive color system (RGB).
What does a hexadecimal (hex) color code in CSS represent?,"It represents a color by specifying the intensity of Red, Green, and Blue (RGB) components with a `#` followed by six characters."
"In the context of CSS, what is the 'Cascade'?",The principle that styles declared later in the stylesheet will take priority over earlier styles if the selectors are the same.
"How can you apply the same CSS styles to multiple selectors (e.g., `h1`, `h2`, `h3`) without repeating the code?",By grouping the selectors with a comma-separated list.
"What is the CSS syntax for selecting an element with a specific ID, for example, an ID of `main-title`?",`#main-title`
How many times can a specific ID be used on a single HTML page?,Only once.
"What is the CSS syntax for selecting elements with a specific class, for example, a class of `highlight`?",`.highlight`
Why are class selectors generally preferred over ID selectors for styling?,"Because classes can be reused on multiple elements, offering greater flexibility and scalability."
What is the purpose of a pseudo-class like `:hover` in CSS?,"It applies styles to an element only when it is in a specific state, such as when the user's mouse pointer is over it."
Which pseudo-class is used to style a link that the user has already visited?,`:visited`.
