What is the primary role of HTML in creating a website?,"HTML creates the content of a website, such as buttons, text, and images."
What is the primary role of CSS in creating a website?,CSS changes the appearance and style of a website to make it look nice.
What is the primary role of JavaScript in creating a website?,"JavaScript makes a website interactive, allowing it to perform actions when a user interacts with it."
The instructions we give to a computer in a programming language are called _____.,code
What is the term for when a computer follows the instructions in a piece of code?,Running the code.
What are the rules that must be followed exactly when using a programming language like JavaScript called?,Syntax.
What JavaScript command creates a pop-up message box in the browser?,The `alert()` command.
"In JavaScript, what character is used for multiplication?",The star or asterisk character (`*`).
"In JavaScript, what character is used for division?",The forward slash character (`/`).
"Adding, subtracting, multiplying, and dividing are called _____ in JavaScript.",operations
"How can you control which part of a mathematical calculation gets done first, overriding the default order of operations?","By using brackets `()`, as the calculation inside the brackets is always done first."
What is the recommended best practice when calculating money in JavaScript to avoid floating-point inaccuracies?,"Calculate in cents to work with whole numbers, and then convert back to dollars at the end."
What does a string represent in JavaScript?,A string represents text.
What is the feature called when JavaScript automatically converts a number into a string when added to another string?,Type coercion or automatic type conversion.
What is the escape character used to create a new line of text within a string?,The `\n` (new line) character.
What is the escape character used to include a single quote within a string that is defined by single quotes?,The `\'` (backslash single quote) character.
What is the name for strings created with backticks (`) in JavaScript?,Template strings.
What special feature of template strings lets you insert a value directly into the string?,"Interpolation, using the `${...}` syntax."
What is the purpose of a code editor like Visual Studio Code?,A code editor helps us write and organize our code.
"In HTML, what does the `<script>` element do?",The `<script>` element is used to contain and run JavaScript code within an HTML file.
Where in the HTML body is it common practice to place the `<script>` element and why?,"At the bottom, to ensure the web page is created and loaded first before JavaScript tries to make it interactive."
"What HTML attribute can be added to an element, like a button, to run JavaScript code when it is clicked?",The `onclick` attribute.
What is the syntax for creating a single-line comment in JavaScript?,Two forward slashes (`//`). Anything after them on the same line is ignored.
What is the purpose of `console.log()` in JavaScript?,"It displays a value in the browser's console, which is useful for debugging and checking code results."
What keyword is used to create a new variable in JavaScript?,The `let` keyword.
What is the term for saving a value inside a variable for the first time?,Assigning a value.
What is the term for changing the value saved inside an existing variable?,Reassigning a value.
What keyword is used to create a variable that cannot be changed or reassigned?,The `const` keyword.
What does a Boolean value represent in programming?,A Boolean value represents whether something is true or false.
"In JavaScript, what is the result of the expression `3 > 5`?",The Boolean value `false`.
What comparison operator in JavaScript checks if two values are equal in both value and type?,The triple equals operator (`===`).
Why is it generally recommended to use `===` instead of `==` for equality checks in JavaScript?,"Because `==` performs type coercion, which can lead to unexpected results, while `===` provides a strict comparison."
What structure in JavaScript is used to run code only if a certain condition is true?,An `if` statement.
The _____ logical operator (`&&`) checks if two boolean values are both true.,and
The _____ logical operator (`||`) checks if at least one of two boolean values is true.,or
The _____ logical operator (`!`) takes a boolean value and flips it to the opposite.,not
"In JavaScript, what is a 'truthy' value?","A value that behaves like `true` when used in a boolean context, such as in an `if` statement."
"In JavaScript, what is a 'falsy' value?",A value that behaves like `false` when used in a boolean context.
Name two examples of falsy values in JavaScript.,"Any two of: `false`, the number `0`, the empty string `''`, `NaN`, `undefined`, or `null`."
"What is the ternary operator, and what is it a shortcut for?",The ternary operator (`condition ? value1 : value2`) is a shortcut for an `if-else` statement.
How do you define a function in JavaScript?,"Using the `function` keyword, followed by a name, parentheses for parameters, and curly brackets for the code."
What is a parameter in a function?,"A parameter is like a variable that exists only inside a function, allowing you to pass values into it."
What does the `return` statement do inside a function?,It gets a value out of the function and immediately ends the function's execution.
What is the concept of 'scope' in relation to variables?,Scope determines where a variable can be accessed; variables created inside curly brackets only exist within those brackets.
"In JavaScript, what does an object allow you to do?",An object allows you to group multiple related values together.
"In an object, the label on the left of a value is called the _____.",property
How do you access a property of an object in JavaScript using dot notation?,"By typing the object's name, followed by a dot, and then the property name (e.g., `product.name`)."
What is bracket notation used for when accessing object properties?,"Bracket notation (`object['property-name']`) is used for properties that don't work with dot notation, like those with dashes or spaces."
